numero_ot,fecha_deteccion,fecha_programada,severidad,tipo,prioridad,equipo,ubicacion,thd_detectado,score_anomalia,especialidad_requerida,duracion_estimada_horas,costo_total_estimado,tiempo_respuesta,prescripciones,estado,responsable,observaciones
OT-FP1-20250906-0011,2025-08-01 03:00:00,2025-08-01 11:00:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.6228571428571428,-0.5587217188126959,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.623, Score: -0.559"
OT-FP1-20250906-0012,2025-08-01 03:09:00,2025-08-01 11:09:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7111428571428571,-0.5511077041254534,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.711, Score: -0.551"
OT-FP1-20250906-0013,2025-08-01 03:36:00,2025-08-01 11:36:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7417142857142859,-0.5454523692473392,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.742, Score: -0.545"
OT-FP1-20250906-0014,2025-08-01 03:45:00,2025-08-01 11:45:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7208571428571428,-0.5485978008975902,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.721, Score: -0.549"
OT-FP1-20250906-0015,2025-08-01 03:54:00,2025-08-01 11:54:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7614285714285716,-0.5401023465588586,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.761, Score: -0.540"
OT-FP1-20250906-0016,2025-08-01 04:03:00,2025-08-01 12:03:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.6262857142857143,-0.5550848328750159,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.626, Score: -0.555"
OT-FP1-20250906-0017,2025-08-01 04:12:00,2025-08-01 12:12:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.6248571428571429,-0.5541539023740687,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.625, Score: -0.554"
OT-FP1-20250906-0018,2025-08-01 04:21:00,2025-08-01 12:21:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.5748571428571428,-0.5606653492676527,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.575, Score: -0.561"
OT-FP1-20250906-0019,2025-08-01 04:30:00,2025-08-01 12:30:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.6082857142857144,-0.5535719372974349,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.608, Score: -0.554"
OT-FP1-20250906-0020,2025-08-01 04:57:00,2025-08-01 12:57:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.784,-0.5416029395669647,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.784, Score: -0.542"
OT-FP1-20250906-0021,2025-08-01 05:15:00,2025-08-01 13:15:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7388571428571428,-0.5445526013562285,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.739, Score: -0.545"
OT-FP1-20250906-0022,2025-08-01 05:24:00,2025-08-01 13:24:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7665714285714286,-0.5466987981858646,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.767, Score: -0.547"
OT-FP1-20250906-0023,2025-08-01 05:33:00,2025-08-01 13:33:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8200000000000001,-0.5401160505222429,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.820, Score: -0.540"
OT-FP1-20250906-0024,2025-08-01 05:42:00,2025-08-01 13:42:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.744,-0.5494669486054603,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.744, Score: -0.549"
OT-FP1-20250906-0025,2025-08-01 05:51:00,2025-08-01 13:51:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7334285714285714,-0.5531489924914895,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.733, Score: -0.553"
OT-FP1-20250906-0026,2025-08-01 06:00:00,2025-08-01 14:00:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7979999999999999,-0.5403912261608075,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.798, Score: -0.540"
OT-FP1-20250906-0027,2025-08-01 06:09:00,2025-08-01 14:09:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.7382857142857142,-0.5472016897934299,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.738, Score: -0.547"
OT-FP1-20250906-0028,2025-08-02 07:03:00,2025-08-02 15:03:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.4459999999999999,-0.6019885319569626,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.446, Score: -0.602"
OT-FP1-20250906-0029,2025-08-02 07:12:00,2025-08-02 15:12:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.0514285714285716,-0.5977470266937185,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.051, Score: -0.598"
OT-FP1-20250906-0030,2025-08-02 07:21:00,2025-08-02 15:21:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,2.181714285714286,-0.6760358833652261,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 2.182, Score: -0.676"
OT-FP1-20250906-0031,2025-08-03 17:33:00,2025-08-04 01:33:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.5645714285714286,-0.5509717597433724,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.565, Score: -0.551"
OT-FP1-20250906-0032,2025-08-03 17:42:00,2025-08-04 01:42:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8611428571428571,-0.5898564096423295,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.861, Score: -0.590"
OT-FP1-20250906-0033,2025-08-04 19:30:00,2025-08-05 03:30:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.4611428571428572,-0.5655689864140402,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.461, Score: -0.566"
OT-FP1-20250906-0034,2025-08-04 19:39:00,2025-08-04 21:39:00,CRÍTICO,CORRECTIVO,1,Compresor C1,Sala de Compresores - Planta Refrigeración,5.443142857142858,-0.7169538588278854,Eléctrica Senior,8.0,884.0,2 horas,"['🚨 PARADA INMEDIATA del compresor para inspección', '⚡ Verificación completa del sistema eléctrico trifásico', '🔍 Medición detallada de THD en todas las fases', '🛠️ Inspección de contactores y conexiones eléctricas', '📊 Análisis de armónicos con analizador de red', '🔧 Revisión de filtros armónicos si están instalados', '🚨 THD EXTREMO detectado - Riesgo crítico de daño a equipos', '⚡ Verificar inmediatamente cargas no lineales', '🔧 Instalación urgente de filtros armónicos requerida']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 5.443, Score: -0.717"
OT-FP1-20250906-0035,2025-08-04 19:48:00,2025-08-05 03:48:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.7402857142857144,-0.6532463669306919,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.740, Score: -0.653"
OT-FP1-20250906-0036,2025-08-04 19:57:00,2025-08-05 03:57:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.691142857142857,-0.6395487167827958,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.691, Score: -0.640"
OT-FP1-20250906-0037,2025-08-04 20:06:00,2025-08-05 04:06:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.7254285714285713,-0.6463904904770967,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.725, Score: -0.646"
OT-FP1-20250906-0038,2025-08-04 20:42:00,2025-08-05 04:42:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.4200000000000002,-0.5458988432616455,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.420, Score: -0.546"
OT-FP1-20250906-0039,2025-08-04 20:51:00,2025-08-05 04:51:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,1.4034285714285715,-0.5467401672736334,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 1.403, Score: -0.547"
OT-FP1-20250906-0040,2025-08-04 23:15:00,2025-08-05 07:15:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.9640000000000001,-0.5577268805174675,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.964, Score: -0.558"
OT-FP1-20250906-0041,2025-08-04 23:24:00,2025-08-05 07:24:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8762857142857143,-0.5618869696153381,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.876, Score: -0.562"
OT-FP1-20250906-0042,2025-08-04 23:33:00,2025-08-05 07:33:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.9411428571428572,-0.5528106905218613,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.941, Score: -0.553"
OT-FP1-20250906-0043,2025-08-04 23:42:00,2025-08-05 07:42:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8697142857142858,-0.5623453292490891,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.870, Score: -0.562"
OT-FP1-20250906-0044,2025-08-04 23:51:00,2025-08-05 07:51:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8705714285714287,-0.561063696849244,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.871, Score: -0.561"
OT-FP1-20250906-0045,2025-08-05 00:00:00,2025-08-05 08:00:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.8877142857142858,-0.5624538175683184,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.888, Score: -0.562"
OT-FP1-20250906-0046,2025-08-05 00:09:00,2025-08-05 08:09:00,ALERTA,PREDICTIVO,2,Compresor C1,Sala de Compresores - Planta Refrigeración,0.9388571428571428,-0.5472503154555497,Eléctrica,4.0,338.0,8 horas,"['⚠️ Programar inspección eléctrica en próximas 8 horas', '⚡ Verificar conexiones y terminales eléctricos', '📈 Monitoreo continuo de THD por 24 horas', '🔍 Inspección visual de componentes eléctricos', '📊 Registro de parámetros eléctricos cada 2 horas']",PENDIENTE,Jefe de Mantenimiento,"Anomalía detectada por IA - THD: 0.939, Score: -0.547"
